KEY,OVERRIDE_LOGGED_BY,AP_NAME,REASON,TUITION_ELIGIBLE,UPDATED_AT,STUDENT_EXTERNAL_ID,TERM_CODE,COMMENT,MP SEARCH URL
﻿KEY,OVERRIDE_LOGGED_BY,AP_NAME,REASON,TUITION_ELIGIBLE,UPDATED_AT,STUDENT_EXTERNAL_ID,TERM_CODE,COMMENT,MP SEARCH URL
2020-08-31-2020-11-21_21254849,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.561 +0000,21254849,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21254849&page=0&attribute=studentId
2020-08-31-2020-11-21_21253588,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.555 +0000,21253588,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21253588&page=0&attribute=studentId
2020-08-31-2020-11-21_21249352,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.550 +0000,21249352,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21249352&page=0&attribute=studentId
2020-08-31-2020-11-21_21249093,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.544 +0000,21249093,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21249093&page=0&attribute=studentId
2020-09-28-2020-11-08_21248745,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.538 +0000,21248745,2020-09-28-2020-11-08,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21248745&page=0&attribute=studentId
2020-10-12-2020-11-22_21248063,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.533 +0000,21248063,2020-10-12-2020-11-22,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21248063&page=0&attribute=studentId
2020-08-31-2020-10-11_21248063,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.528 +0000,21248063,2020-08-31-2020-10-11,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21248063&page=0&attribute=studentId
2020-08-31-2020-11-21_21247441,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.520 +0000,21247441,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21247441&page=0&attribute=studentId
2020-08-31-2020-11-21_21247433,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.514 +0000,21247433,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21247433&page=0&attribute=studentId
2020-08-31-2020-11-21_21247051,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.508 +0000,21247051,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21247051&page=0&attribute=studentId
